Date,qqq_close,qqq_ret_%,entry_trigger,exit_trigger,position
2026-03-27,562.5800170898438,-1.9536696991535485,False,False,1
2026-03-30,558.280029296875,-0.764333545868201,False,False,1
2026-03-31,577.1799926757812,3.3853912708842193,False,True,1
2026-04-01,584.3099975585938,1.2353174006878076,False,False,0
2026-04-02,584.97998046875,0.11466223630531847,False,False,0
2026-04-06,588.5,0.6017333325542884,False,False,0
2026-04-07,588.5900268554688,0.015297681473014357,False,False,0
2026-04-08,606.0900268554688,2.9732070204270045,False,False,0
2026-04-09,610.1900024414062,0.6764631332426108,False,False,0
2026-04-10,611.0700073242188,0.1442181745508142,False,False,0
2026-04-13,617.3900146484375,1.0342525812865766,False,False,0
2026-04-14,628.5999755859375,1.8157016912369928,False,False,0
2026-04-15,637.4000244140625,1.3999441886586528,False,False,0
2026-04-16,640.469970703125,0.4816357344643363,False,False,0
2026-04-17,648.8499755859375,1.3084149556009228,False,False,0
2026-04-20,646.7899780273438,-0.31748441644519065,False,False,0
2026-04-21,644.3300170898438,-0.3803338055735961,False,False,0
2026-04-22,655.1099853515625,1.6730507621555812,False,False,0
2026-04-23,651.4199829101562,-0.5632645699066852,False,False,0
2026-04-24,663.8800048828125,1.9127478891562966,False,False,0
2026-04-27,664.22998046875,0.052716693282439664,False,False,0
2026-04-28,657.5499877929688,-1.0056746717555742,False,False,0
2026-04-29,661.5700073242188,0.6113633344809299,False,False,0
2026-04-30,667.739990234375,0.9326273624633119,False,False,0
2026-05-01,674.1500244140625,0.9599596060492877,False,False,0
2026-05-04,672.8800048828125,-0.18838826451929025,False,False,0
2026-05-05,681.6099853515625,1.2974052439365336,False,False,0
2026-05-06,695.77001953125,2.077439369140688,False,False,0
2026-05-07,694.9400024414062,-0.11929474776779525,False,False,0
2026-05-08,711.22998046875,2.3440840892904546,False,False,0
2026-05-11,713.2899780273438,0.28963874065546236,False,False,0
2026-05-12,707.239990234375,-0.848180680976407,False,False,0
2026-05-13,714.7100219726562,1.0562230418850849,False,False,0
2026-05-14,719.7899780273438,0.7107716274449949,False,False,0
2026-05-15,708.9299926757812,-1.5087714031981059,False,False,0
2026-05-18,705.8800048828125,-0.4302241158477327,False,False,0
2026-05-19,701.530029296875,-0.6162485912403315,False,False,0
2026-05-20,713.1500244140625,1.6563788621898112,False,False,0
2026-05-21,714.510009765625,0.19070115754113992,False,False,0
2026-05-22,717.5399780273438,0.4240623952507905,False,False,0
