Date,QQQ,QLD_actual,QLD_simulated
1999-03-10,43.074344635009766,,
1999-03-11,43.28522872924805,,5.568404173606867
1999-03-12,42.230796813964844,,5.2965035394273565
1999-03-15,43.443389892578125,,5.6000882415831725
1999-03-16,43.81243896484375,,5.694622616246639
1999-03-17,43.49611282348633,,5.611771400405988
1999-03-18,44.33967971801758,,5.828829889249618
1999-03-19,43.206138610839844,,5.530167145370061
1999-03-22,42.678924560546875,,5.394602831837667
1999-03-23,41.176326751708984,,5.014158964161828
1999-03-24,42.57347869873047,,5.353882733038881
1999-03-25,44.1287956237793,,5.744480871131085
1999-03-26,43.65428924560547,,5.620316601055325
1999-03-29,45.23598098754883,,6.026976999418593
1999-03-30,44.91963195800781,,5.942023008604753
1999-03-31,44.26059341430664,,5.767018435806722
1999-04-01,45.1832275390625,,6.006822510880371
1999-04-05,46.81764221191406,,6.440737754045433
1999-04-06,46.909915924072266,,6.465423966022892
1999-04-07,46.422218322753906,,6.330283969652422
1999-04-08,46.79129409790039,,6.430250631311471
1999-04-09,47.08124923706055,,6.509243298071423
1999-04-12,46.7649040222168,,6.421060762361258
1999-04-13,46.13224792480469,,6.246626950501192
1999-04-14,44.5505485534668,,5.817599823972437
1999-04-15,45.156883239746094,,5.975321155642497
1999-04-16,43.83880615234375,,5.625844378421116
1999-04-19,41.78263854980469,,5.09749414605522
1999-04-20,42.73164367675781,,5.3284962680578705
1999-04-21,44.840553283691406,,5.853863668125702
1999-04-22,46.053157806396484,,6.169832754545118
1999-04-23,46.65947723388672,,6.331619801159703
1999-04-26,47.73369598388672,,6.622469269841756
1999-04-27,47.00217819213867,,6.418768966885142
1999-04-28,45.39412307739258,,5.978866867537988
1999-04-29,45.02507400512695,,5.881000083631673
1999-04-30,45.31504440307617,,5.956108599031511
1999-05-03,45.07780456542969,,5.893094762437323
1999-05-04,44.366031646728516,,5.706349883375636
1999-05-05,45.71045684814453,,6.051567212891742
1999-05-06,44.0496940612793,,5.611173671071641
1999-05-07,44.68238067626953,,5.771748782778189
1999-05-10,45.130516052246094,,5.8868934100195105
1999-05-11,45.842281341552734,,6.071939173190064
1999-05-12,46.79129409790039,,6.322676083010248
1999-05-13,45.921363830566406,,6.086888092538482
1999-05-14,45.05143737792969,,5.855606620808448
1999-05-17,45.86204528808594,,6.065687476072231
1999-05-18,45.65774154663086,,6.010984058415896
1999-05-19,46.29041290283203,,6.176915106516765
1999-05-20,45.01847839355469,,5.836792134330141
1999-05-21,44.603275299072266,,5.728490994204658
1999-05-24,43.46976089477539,,5.436707319624295
1999-05-25,42.04625701904297,,5.080043043323882
1999-05-26,43.21932601928711,,5.362950450058511
1999-05-27,43.17979431152344,,5.3525550962054345
1999-05-28,43.891536712646484,,5.52842638020201
1999-06-01,42.916175842285156,,5.282117545107232
1999-06-02,43.64109802246094,,5.459988396126526
1999-06-03,43.021610260009766,,5.304383529889302
1999-06-04,44.33967971801758,,5.628830128144089
1999-06-07,45.26231384277344,,5.862469488048214
1999-06-08,44.1287956237793,,5.56819911427258
1999-06-09,44.866912841796875,,5.753864304126712
1999-06-10,44.35285949707031,,5.621389654295053
1999-06-11,43.68064880371094,,5.4503816110087495
1999-06-14,42.85686492919922,,5.244207338507553
1999-06-15,43.49611282348633,,5.400079604431125
1999-06-16,45.730247497558594,,5.9542303948234885
1999-06-17,46.23770523071289,,6.085726686576132
1999-06-18,46.44857406616211,,6.140571654678831
1999-06-21,47.83914566040039,,6.50757359277463
1999-06-22,46.39584732055664,,6.114199565063046
1999-06-23,47.12739181518555,,6.306343796202869
1999-06-24,46.19156265258789,,6.055200697128918
1999-06-25,46.13224792480469,,6.03898960734099
1999-06-28,47.22624969482422,,6.32475415387924
1999-06-29,47.872093200683594,,6.497053282859852
1999-06-30,48.61018371582031,,6.696687779980041
1999-07-01,48.939720153808594,,6.786753662316077
1999-07-02,49.55923080444336,,6.957836068851978
1999-07-06,49.24288558959961,,6.868251422633066
1999-07-07,49.321964263916016,,6.889562021964949
1999-07-08,49.98100280761719,,7.072927205427136
1999-07-09,50.48185348510742,,7.213909249040539
1999-07-12,50.21825408935547,,7.137785596094113
1999-07-13,49.98100280761719,,7.0695639412605065
1999-07-14,50.83115768432617,,7.309293625054853
1999-07-15,51.29906463623047,,7.443062691517047
