signal,entry,exit,CAGR,Sharpe,MaxDD,Finalx,TimeInMkt,Trades
QQQ,-0.005,0.005,20.44972948385586,0.6067649945281269,-97.3050585064033,155.25888589060463,39.82145470510757,1076
QQQ,-0.005,0.0075,26.597865548797994,0.6875133523591214,-95.83029532583592,598.824440896516,45.470510756622275,994
QQQ,-0.005,0.01,27.679416047638416,0.6997521878179894,-97.35167909590209,754.1822260236492,52.641592272793794,876
QQQ,-0.005,0.0125,24.784524307950505,0.6634663004953478,-98.08907833391987,404.95406750219576,60.63222596224206,743
QQQ,-0.005,0.015,22.132301062474923,0.6320434513691257,-99.14761706850214,226.1606130267455,69.07654031903996,604
QQQ,-0.005,0.0175,20.032868074803112,0.6081422586248015,-99.2991839876617,141.32882997213062,75.03292843553344,495
QQQ,-0.005,0.02,19.130276109797563,0.599668896882492,-99.53815233538323,115.17191449411159,80.9161422508415,405
QQQ,-0.005,0.0225,15.875543861974716,0.5637033308685051,-99.81512839838814,54.34284147757193,85.27733060149275,321
QQQ,-0.005,0.025,20.38337523266407,0.6181861576200827,-99.71930829778275,152.95633382158888,88.36528611151763,274
QQQ,-0.005,0.0275,22.57189497794103,0.6437314266149035,-99.46043956259989,249.302296727225,90.67759402897703,233
QQQ,-0.005,0.03,22.276908757425474,0.6411964738577098,-99.4779561197353,233.53486101172786,92.58012585979803,195
QQQ,-0.005,0.0325,21.874368546042145,0.6376662747052693,-99.44384762041354,213.56051665941996,94.0582467437436,157
QQQ,-0.005,0.035,21.279698274424042,0.6327427012955125,-99.63897639420924,187.03427203821195,95.12659154105079,131
QQQ,-0.005,0.0375,16.72939056955962,0.5839262607136948,-99.73254656120531,66.31273591914619,95.66808136982291,113
QQQ,-0.005,0.04,15.248182897130146,0.5678934536363944,-99.81852114180076,46.90435316122659,96.07785745646129,101
QQQ,-0.005,0.0425,15.425499402169596,0.5712360822447164,-99.8188237876583,48.900942326080646,96.76569588760428,86
QQQ,-0.005,0.045,17.69167885265448,0.5975256374705278,-99.79355096000145,82.84701090438126,97.45353431874726,73
QQQ,-0.005,0.0475,17.992067280904458,0.6009461183997032,-99.7516529836971,88.77581187022841,97.54134348016976,71
QQQ,-0.005,0.05,17.568859633972032,0.5970810652408168,-99.77579559717682,80.5344040469417,97.73159666325186,65
QQQ,-0.005,0.0525,18.668380595896682,0.6095895840501422,-99.70348854910509,103.65729072748059,98.03892872823064,57
QQQ,-0.005,0.055,16.28901613910734,0.5847290130539612,-99.78196258858846,59.853141326303444,98.24381677154983,50
QQQ,-0.005,0.0575,15.788139781952504,0.5797649938148632,-99.79298657466856,53.24226142274118,98.43406995463194,44
QQQ,-0.005,0.06,15.789085676991355,0.5799920106834112,-99.78078069406442,53.254056276783764,98.62432313771403,40
QQQ,-0.005,0.0625,15.971245806452018,0.5827089010744186,-99.8045423716539,55.57303338570095,98.97555978340407,32
QQQ,-0.005,0.065,14.8251666623886,0.5706741062562671,-99.85068658395852,42.45318806341574,99.16581296648617,26
QQQ,-0.005,0.0675,14.36709738385149,0.5657244398639321,-99.86602386448826,38.092451620755874,99.18044782672325,25
QQQ,-0.005,0.07,13.43624858933623,0.5559548271415063,-99.89265311811813,30.521151316275937,99.2389872676716,24
QQQ,-0.005,0.0725,13.871102226988441,0.5609522484357048,-99.90089398100491,33.85767978200413,99.35606614956826,22
QQQ,-0.005,0.075,14.039050609076442,0.5632799746221852,-99.8995955070603,35.23811793409934,99.4292404507537,20
QQQ,-0.005,0.0775,13.564623695540146,0.5581840803625997,-99.89905365148185,31.471694276064312,99.5170496121762,17
QQQ,-0.005,0.08,13.076156080590295,0.5530056441079478,-99.91018882376275,28.000120089574846,99.57558905312455,16
QQQ,-0.0075,0.005,14.323078976306602,0.5174666062960401,-96.95729948882575,37.69690110269249,34.055319771696176,937
QQQ,-0.0075,0.0075,20.759800920713033,0.6109326759541732,-95.29223080587465,166.46849877426453,38.987267671593735,877
QQQ,-0.0075,0.01,21.99936603272907,0.6278757176828138,-97.00993606436413,219.57984262268954,46.085174886579836,788
QQQ,-0.0075,0.0125,20.382631287258988,0.6076514469565722,-97.90002105780594,152.93070563652267,54.98316991072735,680
QQQ,-0.0075,0.015,15.608800956427181,0.5479691780056122,-98.86590461912759,51.050872471987546,63.03234304112396,562
QQQ,-0.0075,0.0175,12.552540016842094,0.5114446842341809,-99.01933564064814,24.688974124472516,68.57895507097908,467
QQQ,-0.0075,0.02,10.790088929998266,0.49324006350366384,-99.41630074112275,16.09332318655287,75.57441826430558,389
QQQ,-0.0075,0.0225,11.147796620572947,0.5028008483368468,-99.73858314930783,17.563270901965016,81.66252012293282,312
QQQ,-0.0075,0.025,15.969267194342951,0.5652845154038078,-99.64535943815432,55.54733010407074,85.37977462315234,267
QQQ,-0.0075,0.0275,20.314220984557195,0.6176020979584994,-99.27243391181003,150.59163114729787,88.74579247768185,229
QQQ,-0.0075,0.03,21.080563061366185,0.6272333862557935,-99.31452406528092,178.88330653539344,91.42397190106834,192
QQQ,-0.0075,0.0325,19.08463805585503,0.60619705445751,-99.44389959161663,113.98151833956341,93.26796429094102,154
QQQ,-0.0075,0.035,20.10886041835338,0.6197454999022027,-99.63652199654454,143.7751071108971,94.78998975559783,129
QQQ,-0.0075,0.0375,16.096008364129545,0.5766270123295152,-99.71622238079904,57.217108705632164,95.5949070686375,111
