overlay,CAGR,Sharpe,MaxDD,Finalx,TimeInMkt,Trades,sl,cooldown,trend
no overlay (best-Sharpe),28.821919383989968,0.7109237134714446,-98.18912825320594,960.2431655758049,94.89243377725742,66,,,
+ stop-loss 30%,25.697252198291153,0.6771360442220273,-98.56989654429668,493.4310941537637,93.88262842089858,75,0.3,,
+ stop-loss 25% + cooldown 20d,29.074064575920367,0.7198885000497746,-91.66155512199194,1012.5300257413716,91.1751792770379,53,0.25,20.0,
+ stop-loss 30% + cooldown 40d,22.879200439037973,0.6424172300996734,-98.09580463154396,266.8168718248272,86.62373774330455,44,0.3,40.0,
+ 200d trend filter,7.952471633869274,0.41071368425221233,-85.9528776423488,7.963506171023389,61.24689009219962,19,,,True
+ trend + stop-loss 30%+cd20,6.271916851365389,0.375298251450866,-86.47639960805533,5.204033781497625,60.77857456461291,17,0.3,20.0,True
