Date,QQQ,TQQQ_actual,TQQQ_simulated,TQQQ_volume
1999-03-10,43.074344635009766,,,
1999-03-11,43.28525161743164,,20.32808674640636,
1999-03-12,42.230770111083984,,18.839813107058514,
1999-03-15,43.44340515136719,,20.46030931351968,
1999-03-16,43.81244659423828,,20.979086004264285,
1999-03-17,43.496124267578125,,20.52197738949805,
1999-03-18,44.33967208862305,,21.713316694216527,
1999-03-19,43.206146240234375,,20.04523869784736,
1999-03-22,42.67892456054688,,19.308848248967102,
1999-03-23,41.17632293701172,,17.266930770834445,
1999-03-24,42.57346725463867,,19.0223437520756,
1999-03-25,44.128787994384766,,21.10469826955391,
1999-03-26,43.654296875,,20.42119583546457,
1999-03-29,45.235958099365234,,22.63823358641909,
1999-03-30,44.91961669921875,,22.160375802775047,
1999-03-31,44.26059722900391,,21.182166495205752,
1999-04-01,45.18323516845703,,22.504097409780076,
1999-04-05,46.8176383972168,,24.94330125995004,
1999-04-06,46.90991973876953,,25.087578884258576,
1999-04-07,46.42223739624024,,24.301899770606912,
1999-04-08,46.79126739501953,,24.878322610021872,
1999-04-09,47.08127212524414,,25.337688337447585,
1999-04-12,46.76491928100586,,24.823665275777977,
1999-04-13,46.13225173950195,,23.81296842549119,
1999-04-14,44.55058288574219,,21.36057514117004,
1999-04-15,45.15689086914063,,22.229934904102823,
1999-04-16,43.83881759643555,,20.280474680186547,
1999-04-19,41.78263473510742,,17.424197820215305,
1999-04-20,42.73163986206055,,18.609212364695047,
1999-04-21,44.840553283691406,,21.36204510440849,
1999-04-22,46.05317306518555,,23.092365641131675,
1999-04-23,46.65946960449219,,24.001429077411576,
1999-04-26,47.73371505737305,,25.65609406962707,
1999-04-27,47.00217056274414,,24.47320421607601,
1999-04-28,45.39413070678711,,21.958212433629324,
1999-04-29,45.02508544921875,,21.419831709757936,
1999-04-30,45.31505584716797,,21.83091192732992,
1999-05-03,45.07777786254883,,21.485163296139728,
1999-05-04,44.36606216430664,,20.46472836781099,
1999-05-05,45.71047592163086,,22.322500771068285,
1999-05-06,44.04972839355469,,19.88656549043302,
1999-05-07,44.68238067626953,,20.74084596960057,
1999-05-10,45.1305046081543,,21.36220588397568,
1999-05-11,45.842281341552734,,22.370193242292647,
1999-05-12,46.79126739501953,,23.75657048175656,
1999-05-13,45.92137145996094,,22.428531022543822,
1999-05-14,45.05144882202149,,21.15099637151187,
1999-05-17,45.862037658691406,,22.28994631123904,
1999-05-18,45.65773010253906,,21.989176763805656,
1999-05-19,46.2903938293457,,22.90042950952113,
1999-05-20,45.01848602294922,,21.00978942706536,
1999-05-21,44.603294372558594,,20.425778293897373,
1999-05-24,43.46976089477539,,18.865860918584904,
1999-05-25,42.0462532043457,,17.010021361254477,
1999-05-26,43.219329833984375,,18.43154874795215,
1999-05-27,43.17977523803711,,18.378564734250137,
1999-05-28,43.89155197143555,,19.285052022773822,
1999-06-01,42.916160583496094,,17.996862692278437,
1999-06-02,43.64109802246094,,18.90654682374353,
1999-06-03,43.02161407470703,,18.09897409939609,
1999-06-04,44.33967208862305,,19.760139889807288,
1999-06-07,45.26231384277344,,20.991126657560084,
1999-06-08,44.128787994384766,,19.41134583256012,
1999-06-09,44.86692810058594,,20.382919340005603,
1999-06-10,44.35286712646485,,19.679680195286345,
1999-06-11,43.68064880371094,,18.782337105593648,
1999-06-14,42.85685729980469,,17.717242136218022,
1999-06-15,43.496124267578125,,18.50778489971726,
1999-06-16,45.73024368286133,,21.3572788397896,
1999-06-17,46.23769378662109,,22.06550272728769,
1999-06-18,46.44859313964844,,22.364591355686763,
1999-06-21,47.83915328979492,,24.370333556891172,
1999-06-22,46.3958625793457,,22.161455722547416,
1999-06-23,47.12738800048828,,23.20685815735719,
1999-06-24,46.191551208496094,,21.821366560869286,
1999-06-25,46.13225173950195,,21.73451014949512,
1999-06-28,47.22624206542969,,23.27795679972162,
1999-06-29,47.87209701538086,,24.229985052386468,
1999-06-30,48.61021423339844,,25.34763096437624,
1999-07-01,48.939720153808594,,25.8598198727171,
1999-07-02,49.55921173095703,,26.83850424547437,
1999-07-06,49.24288177490234,,26.321121607138107,
1999-07-07,49.32196807861328,,26.44454443958422,
1999-07-08,49.98100662231445,,27.501186044272107,
1999-07-09,50.48186111450195,,28.32439749099604,
1999-07-12,50.2182502746582,,27.877022258554824,
1999-07-13,49.98100662231445,,27.47833139574517,
1999-07-14,50.831146240234375,,28.876943901204005,
1999-07-15,51.29906463623047,,29.670685199002538,
1999-07-16,51.7735595703125,,30.490181484325777,
1999-07-19,51.246341705322266,,29.55478950939801,
1999-07-20,49.26923370361328,,26.13026328785944,
1999-07-21,49.50648498535156,,26.504375345447244,
1999-07-22,48.24773788452149,,24.479262730895226,
1999-07-23,48.32023620605469,,24.586454003271218,
1999-07-26,47.13397216796875,,22.77248613602032,
1999-07-27,48.08297729492188,,24.14506587243208,
1999-07-28,49.0254020690918,,25.56167819981463,
1999-07-29,47.977535247802734,,23.919317656399997,
1999-07-30,47.74029541015625,,23.56140211204388,
1999-08-02,47.60848617553711,,23.363205705514098,
1999-08-03,47.29874038696289,,22.904181038692847,
1999-08-04,46.441993713378906,,21.65659995682828,
1999-08-05,47.18009567260742,,22.686369975349237,
1999-08-06,46.67266082763672,,21.951448650780574,
1999-08-09,46.07293319702149,,21.10241082023386,
1999-08-10,45.65773010253906,,20.52917192716981,
1999-08-11,47.160343170166016,,22.55339158538688,
1999-08-12,46.60675811767578,,21.756262335531865,
1999-08-13,48.63658142089844,,24.59604966858158,
1999-08-16,49.0254020690918,,25.182768845894817,
1999-08-17,49.26923370361328,,25.55526515260854,
1999-08-18,48.71565628051758,,24.690569353650524,
1999-08-19,48.13569259643555,,23.80555435268385,
1999-08-20,48.900184631347656,,24.936723866081376,
1999-08-23,50.45549011230469,,27.31289778190363,
1999-08-24,50.79817581176758,,27.86588853854605,
1999-08-25,51.87902069091797,,29.641020749998724,
1999-08-26,51.01569366455078,,28.15741369680609,
1999-08-27,50.50821685791016,,27.313496236797224,
1999-08-30,49.796478271484375,,26.155304565512107,
1999-08-31,50.35004425048828,,27.02420177437673,
1999-09-01,50.71253967285156,,27.60439781849614,
1999-09-02,50.53458023071289,,27.310229913493245,
1999-09-03,52.8543701171875,,31.067734665433505,
1999-09-07,52.61713790893555,,30.645391934319296,
1999-09-08,51.90536880493164,,29.39778761381172,
1999-09-09,52.64349365234375,,30.64815619793206,
1999-09-10,53.249794006347656,,31.70313560586875,
1999-09-13,52.61053085327149,,30.55725799484383,
1999-09-14,52.900508880615234,,31.05859080783352,
1999-09-15,51.87902069091797,,29.255395852397083,
1999-09-16,51.85265350341797,,29.207014744489204,
1999-09-17,53.40796661376953,,31.831427496013717,
1999-09-20,53.53318786621094,,32.05121821189466,
1999-09-21,52.248077392578125,,29.73883136676167,
1999-09-22,52.80165100097656,,30.680252184863438,
1999-09-23,50.61366653442383,,26.86232702654676,
1999-09-24,50.679569244384766,,26.963791450805022,
1999-09-27,51.03544998168945,,27.528345898057037,
1999-09-28,51.27270126342773,,27.90871179930321,
1999-09-29,50.244606018066406,,26.22627534642161,
1999-09-30,50.77182388305664,,27.048470489760017,
1999-10-01,50.791603088378906,,27.07659259117698,
1999-10-04,51.9317512512207,,28.896510482940275,
1999-10-05,52.3007926940918,,29.508822172556847,
1999-10-06,53.3486442565918,,31.27865150936492,
1999-10-07,53.22343444824219,,31.054382043504926,
1999-10-08,53.78363037109375,,32.030951300967224,
1999-10-11,54.54147720336914,,33.38083041263914,
1999-10-12,53.302520751953125,,31.10170105101124,
1999-10-13,51.72085952758789,,28.329018846645244,
1999-10-14,52.04376220703125,,28.85595343746504,
1999-10-15,50.50821685791016,,26.298055500650943,
1999-10-18,49.86896514892578,,25.29614719184713,
1999-10-19,50.1391487121582,,25.70403721671051,
1999-10-20,51.66812133789063,,28.052222902850225,
1999-10-21,52.51168441772461,,29.422593189380603,
1999-10-22,52.2744255065918,,29.019984603842648,
1999-10-25,52.3007926940918,,29.060153469986727,
1999-10-26,51.87902069091797,,28.353350245445707,
1999-10-27,51.79991912841797,,28.219998418758134,
1999-10-28,53.59249877929688,,31.146087659966835,
1999-10-29,55.46415710449219,,34.405296490105826,
1999-11-01,55.17415237426758,,33.86117396055723,
1999-11-02,55.20710754394531,,33.91748042704213,
1999-11-03,56.307708740234375,,35.94162691656794,
1999-11-04,56.94039916992188,,37.14854271649968,
1999-11-05,57.52031326293945,,38.27877685922294,
1999-11-08,58.68021774291992,,40.58952748804191,
1999-11-09,58.284812927246094,,39.763777639901065,
1999-11-10,59.049293518066406,,41.32330725449434,
1999-11-11,60.10372924804688,,43.53169091403148,
1999-11-12,60.89459228515625,,45.24448395515903,
1999-11-15,60.77595138549805,,44.97419716425215,
1999-11-16,62.31809997558594,,48.39196400049344,
1999-11-17,61.47451400756836,,46.42050745014591,
1999-11-18,63.3593635559082,,50.68436937656828,
1999-11-19,63.92610931396485,,52.03793620151603,
1999-11-22,62.95073699951172,,49.64926778776341,
1999-11-23,63.24078369140625,,50.32914187995921,
1999-11-24,65.32328796386719,,55.29462922829376,
1999-11-26,65.53413391113281,,55.82292361706325,
1999-11-29,64.45332336425781,,53.05377122417851,
1999-11-30,62.00175476074219,,46.99301225279344,
1999-12-01,63.34616470336914,,50.04385660838491,
1999-12-02,65.35623168945312,,54.801295565118345,
1999-12-03,66.74675750732422,,58.2920989516769,
1999-12-06,67.35307312011719,,59.87312319988941,
1999-12-07,67.35307312011719,,59.86539844867225,
1999-12-08,66.5358657836914,,57.67860072416104,
1999-12-09,66.8521957397461,,58.49381929296973,
1999-12-10,67.40584564208984,,59.93955747875471,
1999-12-13,68.32188415527344,,62.37554142993365,
1999-12-14,67.08946990966797,,58.992037765816086,
1999-12-15,68.38119506835938,,62.39188390219433,
1999-12-16,70.06830596923828,,67.0018593887945,
1999-12-17,70.67461395263672,,68.73253605078106,
1999-12-20,71.59724426269531,,71.41549992624746,
1999-12-21,75.44599151611328,,82.92321846795735,
1999-12-22,75.20877075195312,,82.13032680651493,
1999-12-23,76.10501861572266,,85.0559224449018,
1999-12-27,75.65689849853516,,83.54247466769151,
1999-12-28,75.18238067626953,,81.95976836205058,
1999-12-29,78.02940368652344,,91.26020589683934,
1999-12-30,77.1858139038086,,88.28854059901703,
1999-12-31,77.0804443359375,,87.91557064130947,
2000-01-03,79.92741394042969,,97.6457243051613,
2000-01-04,74.44424438476562,,77.53709017888856,
2000-01-05,72.54625701904297,,71.59656413024551,
2000-01-06,67.56392669677734,,56.836004834440935,
2000-01-07,75.92047882080078,,77.91772314863682,
2000-01-10,78.02940368652344,,84.40088372110927,
2000-01-11,74.23336029052734,,72.07196806640016,
2000-01-12,72.59898376464844,,67.30230028476629,
2000-01-13,76.97493743896484,,79.46369433570702,
2000-01-14,78.76751708984375,,85.00505426827253,
2000-01-18,79.1893081665039,,86.35966416055021,
2000-01-19,80.9818344116211,,92.213024623881,
2000-01-20,80.19105529785156,,89.49977589898135,
2000-01-21,81.19278717041016,,92.84227283649008,
2000-01-24,77.29127502441406,,79.4463991147228,
2000-01-25,78.45118713378906,,83.0129113778183,
2000-01-26,75.28779602050781,,72.96019992243464,
2000-01-27,76.3950424194336,,76.16983106357841,
2000-01-28,72.54625701904297,,64.64768600378123,
2000-01-31,75.65689849853516,,72.95524389619389,
2000-02-01,77.6866683959961,,78.81769603563517,
2000-02-02,78.34573364257812,,80.81350849338777,
2000-02-03,81.40367889404297,,90.26588006728971,
2000-02-04,81.95723724365234,,92.09570239014268,
2000-02-07,83.09078216552734,,95.90512833625164,
2000-02-08,86.57050323486328,,107.9418565139516,
2000-02-09,83.51253509521484,,96.48929631291897,
2000-02-10,86.25408935546875,,105.97951574203368,
2000-02-11,84.25064849853516,,98.58102065026024,
2000-02-14,84.1452407836914,,98.19829164493196,
2000-02-15,84.75151824951172,,100.30821683727056,
2000-02-16,84.3561019897461,,98.89128265899036,
2000-02-17,86.14868927001953,,105.18291384174896,
2000-02-18,83.0380630493164,,93.77562159358362,
2000-02-22,83.30168151855469,,94.65664281788683,
2000-02-23,87.94124603271484,,110.46039923006366,
2000-02-24,89.8392333984375,,117.59816522823787,
2000-02-25,87.7831039428711,,109.50866802279288,
2000-02-28,87.7303695678711,,109.29718231987698,
2000-02-29,90.0501708984375,,117.95331965927066,
2000-03-01,90.78826141357422,,120.83849219121107,
2000-03-02,88.68597412109375,,112.4285161084282,
2000-03-03,93.68799591064452,,131.43742089979452,
2000-03-06,94.42610168457033,,134.52698861874975,
2000-03-07,93.00261688232422,,128.42560068484465,
2000-03-08,93.8461685180664,,131.90356613413448,
2000-03-09,97.0094985961914,,145.2250101302858,
2000-03-10,96.58773040771484,,143.31208910029034,
2000-03-13,94.05707550048828,,132.02901804123331,
2000-03-14,90.57737731933594,,117.35850460682008,
2000-03-15,86.7813491821289,,102.58814948808104,
2000-03-16,91.73728942871094,,120.15083561226211,
2000-03-17,93.4770965576172,,126.97135277382496,
2000-03-20,90.84097290039062,,116.21291130457216,
2000-03-21,94.2679443359375,,129.35029752846762,
2000-03-22,96.16595458984376,,137.14670571270966,
2000-03-23,97.8530731201172,,144.3472440058187,
2000-03-24,99.17115020751952,,150.16167579553445,
2000-03-27,99.3293228149414,,150.8608013275336,
2000-03-28,96.79861450195312,,139.31046199461227,
2000-03-29,92.7917251586914,,121.99260419346868,
2000-03-30,90.47191619873048,,112.82735711573518,
2000-03-31,92.36994171142578,,119.9138724572268,
2000-04-03,86.83409118652344,,98.33861916870124,
2000-04-04,85.99054718017578,,95.46001971410996,
2000-04-05,84.46154022216797,,90.35554965508892,
2000-04-06,86.46502685546875,,96.77378204320743,
2000-04-07,89.94474029541016,,108.44503869795167,
2000-04-10,84.46154022216797,,88.59800837057128,
2000-04-11,82.45809936523438,,82.28190200033568,
2000-04-12,77.60763549804688,,67.75098806860956,
2000-04-13,74.23336029052734,,58.90508246920246,
2000-04-14,67.80123901367188,,43.58558108620792,
2000-04-17,75.60416412353516,,58.62813517107046,
2000-04-18,77.60763549804688,,63.28141712235543,
2000-04-19,75.23511505126953,,57.4695792595361,
2000-04-20,73.60073852539062,,53.71682849054212,
2000-04-24,71.49179077148438,,49.09230910098295,
2000-04-25,76.3158950805664,,59.02388915358477,
2000-04-26,73.7061538696289,,52.96103177677107,
2000-04-27,76.97493743896484,,60.00048225476936,
2000-04-28,79.92741394042969,,66.89693689822658,
2000-05-01,80.66554260253906,,68.74168305556421,
2000-05-02,76.02594757080078,,56.87148294037794,
2000-05-03,75.18238067626953,,54.97104572767552,
2000-05-04,75.34054565429688,,55.31088954636837,
2000-05-05,77.13311767578125,,59.25177710105553,
2000-05-08,74.12791442871094,,52.31856130893604,
2000-05-09,72.54625701904297,,48.962868772306784,
2000-05-10,67.27396392822266,,38.281434611655065,
2000-05-11,71.3863525390625,,45.29681042858479,
2000-05-12,71.3863525390625,,45.29096629397496,
2000-05-15,74.49699401855469,,51.20574863758698,
2000-05-16,76.60591125488281,,55.54785529197863,
2000-05-17,75.02420806884766,,52.09995333286988,
2000-05-18,72.33537292480469,,46.49151213554071,
2000-05-19,68.90837097167969,,39.87768854302848,
2000-05-22,68.85565185546875,,39.7810169679011,
2000-05-23,63.108917236328125,,29.81544079619871,
2000-05-24,67.0631332397461,,35.4160330859223,
2000-05-25,65.58687591552734,,33.072629777826954,
2000-05-26,65.58687591552734,,33.0683627908472,
2000-05-30,72.17716979980469,,43.03241208927429,
2000-05-31,70.12101745605469,,39.34919325123937,
2000-06-01,73.7061538696289,,45.37963466535683,
2000-06-02,78.97843170166016,,55.11193721617093,
2000-06-05,79.17609405517578,,55.51861903100655,
2000-06-06,76.97493743896484,,50.88107452075577,
2000-06-07,79.03109741210938,,54.95192649570222,
2000-06-08,78.66209411621094,,54.17511022168995,
2000-06-09,79.0838394165039,,55.03949704598968,
2000-06-12,76.55316162109375,,49.74861478350301,
2000-06-13,79.5056381225586,,55.49825963888854,
2000-06-14,77.71308898925781,,51.73727659554584,
2000-06-15,79.0838394165039,,54.46832157205263,
2000-06-16,79.5056381225586,,55.33282495190085,
2000-06-19,82.66900634765625,,61.93042890752385,
2000-06-20,82.35264587402344,,61.21144651613575,
2000-06-21,83.40709686279297,,63.55482037418851,
2000-06-22,80.34921264648438,,56.55644989590156,
2000-06-23,77.1858139038086,,49.86916466937517,
2000-06-26,79.29474639892578,,53.95042613468832,
2000-06-27,78.34573364257812,,52.00640241491277,
2000-06-28,79.29474639892578,,53.889574951040615,
2000-06-29,77.3044662475586,,49.82477386032669,
2000-06-30,78.82024383544922,,52.74922181585936,
2000-07-03,80.34921264648438,,55.8121319432632,
2000-07-05,77.2385482788086,,49.32274651684519,
2000-07-06,79.29474639892578,,53.25550432983289,
2000-07-07,80.92913818359375,,56.54167721659069,
2000-07-10,79.70333862304688,,53.96514339291298,
2000-07-11,80.13832092285156,,54.84172789168757,
2000-07-12,82.0363540649414,,58.731343002786026,
2000-07-13,83.09078216552734,,60.98841929391936,
2000-07-14,84.88335418701172,,64.92778033691022,
2000-07-17,85.83232116699219,,67.0970148301618,
2000-07-18,83.93436431884766,,62.63733412175208,
2000-07-19,82.0363540649414,,58.379993088401896,
2000-07-20,84.67244720458984,,64.00027444133481,
2000-07-21,81.8254623413086,,57.536275634748215,
2000-07-24,80.13832092285156,,53.96986850521824,
2000-07-25,80.7709732055664,,55.24110138752112,
2000-07-26,80.66554260253906,,55.017655108278,
2000-07-27,77.50214385986328,,48.53780119847668,
2000-07-28,73.28436279296875,,40.607042557312525,
2000-07-31,75.44599151611328,,44.19509459128764,
2000-08-01,74.44424438476562,,42.42896868461251,
2000-08-02,73.12620544433594,,40.16987373903466,
2000-08-03,76.28953552246094,,45.377756722049774,
2000-08-04,76.02594757080078,,44.90154812229666,
2000-08-07,77.81848907470703,,48.0718241222985,
2000-08-08,79.4001693725586,,50.99683758663936,
2000-08-09,77.29127502441406,,46.926780215391055,
2000-08-10,75.7623062133789,,44.13582218435248,
2000-08-11,76.81676483154297,,45.972972931600566,
2000-08-14,78.45118713378906,,48.90152802565639,
2000-08-15,78.45118713378906,,48.89521881514676,
2000-08-16,79.2420425415039,,50.36762793551438,
2000-08-17,80.7709732055664,,53.27657476965037,
2000-08-18,80.34921264648438,,52.43512066226923,
2000-08-21,80.56008911132812,,52.84120338919606,
2000-08-22,80.56008911132812,,52.834385886978346,
2000-08-23,81.87818908691406,,55.42095031131128,
2000-08-24,83.14350128173828,,57.983158372648,
2000-08-25,82.69538116455078,,57.03813865311314,
2000-08-28,83.09078216552734,,57.84894883763265,
2000-08-29,83.51253509521484,,58.72237586676923,
2000-08-30,83.40709686279297,,58.49238087081395,
2000-08-31,85.7269058227539,,63.365395544443295,
2000-09-01,86.57050323486328,,65.22786573057397,
2000-09-05,83.93436431884766,,59.26073292743198,
2000-09-06,80.9818344116211,,52.99930468419464,
2000-09-07,82.7744140625,,56.51197739190566,
