,eq_ret_3m,eq_vol_3m,eq_dd_12m,eq_mom_12m,ff_chg_3m,real_ff,cpi_yoy,cpi_yoy_chg_3m,y2_minus_ff,y2_chg_3m,fwd_6m_%,fwd_12m_%,pattern,distance,n_features
1992-04-30,1.509,9.301,-1.383,10.553,-0.3,0.547,3.183,0.51,1.73,0.35,0.899,6.083,CUT | infl-up | eq-flat | mid-vol,0.855,10
1992-05-31,0.642,8.883,-1.288,6.546,-0.24,0.796,3.024,0.205,1.37,-0.08,3.852,8.388,CUT | infl-up | eq-flat | mid-vol,0.805,10
1992-06-30,1.102,9.317,-3.002,9.963,-0.22,0.745,3.015,-0.175,1.07,-0.77,6.755,10.386,CUT | infl-dn | eq-flat | mid-vol,0.77,10
1992-07-31,2.232,8.021,0.0,9.386,-0.48,0.093,3.157,-0.026,1.17,-1.04,3.435,5.639,CUT | infl-flat | eq-up | low-vol,0.849,10
1992-08-31,-0.318,7.479,-2.602,4.704,-0.52,0.225,3.075,0.051,0.85,-1.04,7.089,11.963,CUT | infl-flat | eq-flat | low-vol,0.906,10
1992-09-30,2.367,7.488,-1.757,7.719,-0.54,0.227,2.993,-0.022,0.58,-1.03,8.107,9.844,CUT | infl-flat | eq-up | low-vol,0.794,10
1992-10-31,-1.304,7.82,-1.55,6.684,-0.15,-0.18,3.28,0.123,1.3,-0.02,5.138,11.739,HOLD | infl-up | eq-flat | low-vol,0.877,10
1992-11-30,4.183,8.034,0.0,14.959,-0.21,-0.03,3.12,0.046,1.7,0.64,4.368,7.057,CUT | infl-flat | eq-up | low-vol,0.81,10
1992-12-31,4.287,7.269,-1.262,4.464,-0.3,-0.047,2.967,-0.026,1.64,0.76,3.401,7.055,CUT | infl-flat | eq-up | low-vol,0.869,10
1993-01-31,4.801,6.042,-0.567,7.339,-0.08,-0.234,3.254,-0.026,1.18,-0.2,2.131,9.761,HOLD | infl-flat | eq-up | low-vol,0.744,10
1993-02-28,2.789,7.417,-1.375,7.434,-0.06,-0.217,3.247,0.126,0.89,-0.87,4.551,5.359,HOLD | infl-up | eq-up | low-vol,0.781,10
1993-03-31,3.663,8.435,-1.021,11.885,0.15,0.051,3.019,0.053,0.89,-0.6,1.607,-1.306,HOLD | infl-flat | eq-up | mid-vol,0.665,10
1993-04-30,0.321,9.401,-3.537,6.083,-0.06,-0.196,3.156,-0.097,0.87,-0.37,6.279,2.435,HOLD | infl-flat | eq-flat | mid-vol,0.751,10
1993-05-31,1.536,8.875,-1.346,8.388,-0.03,-0.221,3.221,-0.026,1.24,0.32,2.577,1.402,HOLD | infl-flat | eq-flat | mid-vol,0.76,10
1993-06-30,-0.252,8.191,-1.271,10.386,-0.03,0.042,2.998,-0.022,0.99,0.07,3.534,-1.389,HOLD | infl-flat | eq-flat | low-vol,0.768,10
1993-07-31,1.804,7.477,-1.797,5.639,0.1,0.213,2.847,-0.309,1.07,0.3,7.471,2.261,HOLD | infl-dn | eq-flat | low-vol,0.773,10
1993-08-31,2.97,6.248,0.0,11.963,0.03,0.189,2.841,-0.38,0.85,-0.36,0.772,2.574,HOLD | infl-dn | eq-up | low-vol,0.73,10
1993-09-30,1.864,6.136,-0.999,9.844,0.05,0.326,2.764,-0.234,0.8,-0.14,-2.868,0.824,HOLD | infl-dn | eq-flat | low-vol,0.739,10
1993-10-31,4.396,5.41,-0.356,11.739,-0.07,0.238,2.752,-0.095,1.0,-0.14,-3.617,0.966,HOLD | infl-flat | eq-up | low-vol,0.713,10
1993-11-30,-0.382,6.173,-1.642,7.057,-0.01,0.275,2.745,-0.096,1.2,0.34,-1.146,-1.754,HOLD | infl-flat | eq-flat | low-vol,0.87,10
1993-12-31,1.639,5.631,-0.953,7.055,-0.13,0.149,2.811,0.047,1.29,0.36,-4.755,-1.539,HOLD | infl-flat | eq-flat | low-vol,0.847,10
1994-01-31,2.946,5.926,0.0,9.761,0.06,0.599,2.451,-0.301,1.07,0.13,-4.848,-2.323,HOLD | infl-dn | eq-up | low-vol,0.759,10
1994-02-28,1.159,6.936,-3.083,5.359,0.23,0.734,2.516,-0.229,1.42,0.45,1.787,4.335,HIKE | infl-dn | eq-flat | low-vol,0.863,10
1994-03-31,-4.433,8.09,-7.517,-1.306,0.38,0.688,2.652,-0.159,1.87,0.96,3.8,12.325,HIKE | infl-dn | eq-dn | low-vol,1.183,10
1994-04-30,-6.374,9.601,-6.45,2.435,0.51,1.196,2.364,-0.087,2.17,1.61,4.755,14.149,HIKE | infl-flat | eq-dn | mid-vol,1.343,10
1994-05-31,-2.278,9.135,-5.29,1.402,0.76,1.722,2.288,-0.227,2.0,1.34,-0.616,16.846,HIKE | infl-dn | eq-dn | mid-vol,1.187,10
1994-06-30,-0.336,9.044,-7.828,-1.389,0.91,1.755,2.495,-0.157,1.94,0.98,3.376,22.617,HIKE | infl-dn | eq-flat | mid-vol,1.118,10
1994-07-31,1.63,7.24,-4.925,2.261,0.7,1.561,2.699,0.335,1.73,0.26,2.654,22.651,HIKE | infl-up | eq-flat | low-vol,0.945,10
1994-08-31,4.16,6.82,-1.351,2.574,0.46,1.569,2.901,0.612,1.7,0.16,2.503,18.169,HIKE | infl-up | eq-up | low-vol,0.896,10
1994-09-30,4.151,6.809,-4.002,0.824,0.48,1.764,2.966,0.471,1.89,0.43,8.212,26.302,HIKE | infl-up | eq-up | low-vol,0.95,10
1994-10-31,3.075,8.328,-2.002,0.966,0.5,2.15,2.61,-0.089,2.08,0.85,8.968,23.108,HIKE | infl-flat | eq-up | low-vol,1.012,10
1994-11-30,-4.585,8.814,-5.873,-1.754,0.82,2.687,2.603,-0.298,2.11,1.23,17.569,33.433,HIKE | infl-dn | eq-dn | mid-vol,1.293,10
1994-12-31,-0.743,8.693,-4.716,-1.539,0.72,2.853,2.597,-0.368,2.24,1.07,18.612,34.111,HIKE | infl-dn | eq-flat | mid-vol,1.201,10
1995-01-31,-0.409,7.022,-2.402,-2.323,0.77,2.659,2.871,0.261,1.73,0.42,19.48,35.203,HIKE | infl-up | eq-flat | low-vol,1.061,10
1995-02-28,7.428,6.301,-0.148,4.335,0.63,3.057,2.863,0.26,0.87,-0.61,15.283,31.4,HIKE | infl-up | eq-up | low-vol,0.775,10
1995-03-31,9.023,5.689,-0.633,12.325,0.53,3.193,2.787,0.19,0.82,-0.89,16.716,28.917,HIKE | infl-up | eq-up | low-vol,0.759,10
1995-04-30,9.415,5.672,0.0,14.149,0.52,2.925,3.125,0.254,0.55,-0.66,12.976,27.095,HIKE | infl-up | eq-up | low-vol,0.681,10
1995-05-31,9.44,6.779,0.0,16.846,0.09,2.891,3.119,0.256,-0.12,-0.9,13.493,25.444,HOLD | infl-up | eq-up | low-vol,0.642,10
1995-06-30,8.796,7.265,-1.147,22.617,0.02,2.957,3.043,0.255,-0.21,-1.01,13.067,23.108,HOLD | infl-up | eq-up | low-vol,0.66,10
1995-07-31,9.199,8.183,-0.559,22.651,-0.2,3.02,2.83,-0.295,0.03,-0.72,13.159,13.858,CUT | infl-dn | eq-up | low-vol,0.574,10
1995-08-31,5.339,6.789,-0.591,18.169,-0.27,3.123,2.617,-0.501,0.11,-0.04,13.98,16.037,CUT | infl-dn | eq-up | low-vol,0.648,10
1995-09-30,7.28,6.047,-0.402,26.302,-0.2,3.255,2.545,-0.497,0.03,0.04,10.453,17.611,CUT | infl-dn | eq-up | low-vol,0.656,10
1995-10-31,3.459,5.397,-1.549,23.108,-0.09,3.016,2.744,-0.086,-0.15,-0.27,12.497,21.285,HOLD | infl-flat | eq-up | low-vol,0.712,10
1995-11-30,7.74,6.154,-0.374,33.433,0.06,3.197,2.603,-0.014,-0.44,-0.49,10.531,25.051,HOLD | infl-flat | eq-up | low-vol,0.701,10
1995-12-31,5.393,7.143,-0.927,34.111,-0.2,3.068,2.532,-0.014,-0.42,-0.65,8.881,20.264,CUT | infl-flat | eq-up | low-vol,0.729,10
1996-01-31,9.376,8.609,0.0,35.203,-0.2,2.769,2.791,0.046,-0.63,-0.68,0.618,23.606,CUT | infl-flat | eq-up | mid-vol,0.652,10
1996-02-29,5.791,9.808,-3.178,31.4,-0.58,2.503,2.717,0.114,0.22,0.08,1.805,23.483,CUT | infl-up | eq-up | mid-vol,0.558,10
1996-03-31,4.801,11.058,-2.411,28.917,-0.29,2.466,2.844,0.312,0.48,0.61,6.48,17.292,CUT | infl-up | eq-up | mid-vol,0.591,10
1996-04-30,2.854,10.664,-1.101,27.095,-0.34,2.387,2.833,0.042,0.81,1.1,7.811,22.497,CUT | infl-flat | eq-up | mid-vol,0.754,10
1996-05-31,4.48,10.307,-1.384,25.444,0.02,2.413,2.827,0.11,1.03,0.83,13.137,26.775,HOLD | infl-up | eq-up | mid-vol,0.68,10
1996-06-30,3.893,8.341,-1.161,23.108,-0.04,2.448,2.822,-0.022,0.84,0.32,10.454,31.986,HOLD | infl-flat | eq-up | low-vol,0.637,10
1996-07-31,-2.174,10.41,-5.683,13.858,0.18,2.517,2.883,0.051,0.82,0.19,22.847,49.123,HOLD | infl-flat | eq-dn | mid-vol,0.796,10
1996-08-31,-2.56,10.403,-3.909,16.037,-0.02,2.408,2.812,-0.015,1.12,0.07,21.293,37.958,HOLD | infl-flat | eq-dn | mid-vol,0.826,10
1996-09-30,2.49,10.712,0.0,17.611,0.03,2.295,3.005,0.183,0.8,-0.01,10.154,37.82,HOLD | infl-up | eq-up | mid-vol,0.612,10
1996-10-31,10.207,7.652,-0.781,21.285,-0.16,2.178,3.062,0.179,0.53,-0.45,13.622,29.684,HOLD | infl-up | eq-up | low-vol,0.502,10
1996-11-30,16.109,6.995,-0.001,25.051,0.09,2.057,3.253,0.441,0.28,-0.75,12.055,26.205,HOLD | infl-up | eq-up | low-vol,0.591,10
1996-12-31,7.771,9.092,-2.152,20.264,-0.01,1.911,3.379,0.374,0.59,-0.22,19.494,31.008,HOLD | infl-up | eq-up | mid-vol,0.474,10
1997-01-31,11.469,10.08,-0.009,23.606,0.01,2.212,3.038,-0.024,0.69,0.17,21.389,24.692,HOLD | infl-flat | eq-up | mid-vol,0.41,10
1997-02-28,4.465,11.249,-3.12,23.483,-0.12,2.158,3.032,-0.221,0.9,0.5,13.739,32.69,HOLD | infl-dn | eq-up | mid-vol,0.58,10
1997-03-31,2.211,11.993,-7.249,17.292,0.1,2.625,2.765,-0.614,1.06,0.57,25.116,45.519,HOLD | infl-dn | eq-up | mid-vol,0.739,10
1997-04-30,1.931,13.693,-1.831,22.497,0.26,3.076,2.434,-0.604,0.78,0.35,14.136,38.736,HIKE | infl-dn | eq-flat | high-vol,0.683,10
1997-05-31,7.266,13.957,-0.168,26.775,0.31,3.262,2.238,-0.794,0.72,0.13,12.628,28.592,HIKE | infl-dn | eq-up | high-vol,0.598,10
1997-06-30,16.909,13.706,-1.509,31.986,0.17,3.326,2.234,-0.532,0.52,-0.37,9.636,28.097,HOLD | infl-dn | eq-up | high-vol,0.543,10
1997-07-31,19.089,12.547,0.0,49.123,0.01,3.354,2.166,-0.269,0.22,-0.55,2.721,17.432,HOLD | infl-dn | eq-up | mid-vol,0.787,10
1997-08-31,6.035,13.395,-6.336,37.958,0.04,3.25,2.29,0.052,0.43,-0.25,16.662,6.427,HOLD | infl-flat | eq-up | high-vol,0.621,10
1997-09-30,7.02,14.012,-1.358,37.82,-0.02,3.321,2.219,-0.014,0.26,-0.28,16.307,7.361,HOLD | infl-flat | eq-up | high-vol,0.581,10
1997-10-31,-4.159,20.071,-6.968,29.684,-0.02,3.414,2.086,-0.08,0.13,-0.11,21.553,20.123,HOLD | infl-flat | eq-dn | high-vol,0.902,10
1997-11-30,6.218,20.218,-2.82,26.205,-0.02,3.63,1.89,-0.4,0.24,-0.21,14.174,21.795,HOLD | infl-dn | eq-up | high-vol,0.59,10
1997-12-31,2.444,19.935,-1.358,31.008,-0.04,3.803,1.697,-0.522,0.16,-0.14,16.839,26.669,HOLD | infl-dn | eq-up | high-vol,0.734,10
1998-01-31,7.179,14.318,-0.529,24.692,0.06,3.929,1.631,-0.455,-0.24,-0.31,14.321,30.538,HOLD | infl-dn | eq-up | high-vol,0.563,10
1998-02-28,9.833,12.599,0.0,32.69,-0.01,4.07,1.44,-0.45,0.04,-0.21,-8.773,18.01,HOLD | infl-dn | eq-up | high-vol,0.595,10
1998-03-31,13.532,11.195,-0.353,45.519,-0.01,4.113,1.377,-0.32,0.11,-0.06,-7.691,16.757,HOLD | infl-dn | eq-up | mid-vol,0.735,10
1998-04-30,13.411,10.132,-1.662,38.736,-0.11,4.012,1.438,-0.193,0.14,0.27,-1.177,20.097,HOLD | infl-dn | eq-up | mid-vol,0.649,10
1998-05-31,3.953,10.166,-3.513,28.592,-0.02,3.801,1.689,0.248,0.04,-0.02,6.675,19.345,HOLD | infl-up | eq-up | mid-vol,0.649,10
1998-06-30,2.913,11.424,-0.408,28.097,0.07,3.937,1.623,0.246,-0.07,-0.11,8.413,21.067,HOLD | infl-up | eq-up | mid-vol,0.677,10
1998-07-31,0.802,12.085,-5.568,17.432,0.09,3.794,1.746,0.307,-0.05,-0.1,14.185,18.565,HOLD | infl-up | eq-flat | mid-vol,0.702,10
1998-08-31,-12.242,19.435,-19.336,6.427,0.06,3.933,1.617,-0.072,-0.64,-0.62,29.359,37.934,HOLD | infl-flat | eq-dn | high-vol,1.435,10
1998-09-30,-10.304,24.381,-14.303,7.361,-0.05,4.083,1.427,-0.196,-1.21,-1.19,26.485,26.126,HOLD | infl-dn | eq-dn | high-vol,1.448,10
1998-10-31,-1.963,26.178,-7.422,20.123,-0.47,3.584,1.486,-0.26,-0.95,-1.37,21.527,24.053,CUT | infl-dn | eq-flat | high-vol,1.151,10
1998-11-30,21.556,21.576,-2.407,21.795,-0.72,3.346,1.484,-0.133,-0.29,-0.37,11.877,19.36,CUT | infl-dn | eq-up | high-vol,0.671,10
1998-12-31,20.867,15.817,-1.013,26.669,-0.83,3.073,1.607,0.18,-0.14,0.24,11.672,19.526,CUT | infl-up | eq-up | high-vol,0.57,10
1999-01-31,16.472,15.237,0.0,30.538,-0.44,2.963,1.667,0.181,-0.05,0.46,3.835,8.973,CUT | infl-up | eq-up | high-vol,0.484,10
1999-02-28,6.42,17.279,-3.228,18.01,-0.07,3.093,1.667,0.182,0.37,0.59,6.628,10.344,HOLD | infl-up | eq-up | high-vol,0.517,10
1999-03-31,4.648,16.742,-2.292,16.757,0.13,3.082,1.728,0.121,0.18,0.45,-0.285,16.497,HOLD | infl-up | eq-up | high-vol,0.528,10
1999-04-30,4.34,16.221,-2.027,20.097,0.11,2.459,2.281,0.614,0.34,0.5,2.078,8.782,HOLD | infl-up | eq-up | high-vol,0.549,10
1999-05-31,5.129,15.864,-4.806,19.345,-0.02,2.649,2.091,0.424,0.68,0.29,6.688,9.122,HOLD | infl-up | eq-up | high-vol,0.52,10
1999-06-30,6.712,15.124,0.0,21.067,-0.05,2.794,1.966,0.237,0.77,0.54,7.033,5.966,HOLD | infl-up | eq-up | high-vol,0.523,10
1999-07-31,-0.484,14.106,-6.348,18.565,0.25,2.845,2.145,-0.137,0.64,0.55,4.948,7.685,HIKE | infl-dn | eq-flat | high-vol,0.73,10
1999-08-31,1.426,13.707,-6.933,37.934,0.33,2.806,2.264,0.173,0.66,0.31,3.485,14.94,HIKE | infl-up | eq-flat | high-vol,0.752,10
1999-09-30,-6.556,13.955,-9.591,26.126,0.46,2.59,2.63,0.664,0.41,0.1,16.829,11.99,HIKE | infl-up | eq-dn | high-vol,0.989,10
1999-10-31,2.575,16.983,-3.936,24.053,0.21,2.637,2.563,0.418,0.59,0.16,6.567,4.877,HIKE | infl-up | eq-up | high-vol,0.591,10
1999-11-30,5.188,15.788,-2.529,19.36,0.35,2.8,2.62,0.356,0.59,0.28,2.282,-5.325,HIKE | infl-up | eq-up | high-vol,0.507,10
1999-12-31,14.543,14.165,0.0,19.526,0.08,2.624,2.676,0.046,0.94,0.61,-0.997,-10.139,HOLD | infl-flat | eq-up | high-vol,0.462,10
2000-01-31,2.313,14.641,-5.09,8.973,0.25,2.657,2.793,0.23,1.16,0.82,2.608,-2.04,HIKE | infl-up | eq-up | high-vol,0.753,10
2000-02-29,-1.619,16.183,-6.999,10.344,0.31,2.512,3.218,0.598,0.8,0.52,11.07,-9.256,HIKE | infl-up | eq-flat | high-vol,0.825,10
2000-03-31,1.996,20.41,-1.891,16.497,0.55,2.088,3.762,1.086,0.65,0.26,-4.142,-22.571,HIKE | infl-up | eq-flat | high-vol,0.773,10
2000-04-30,4.157,22.571,-4.912,8.782,0.57,3.006,3.014,0.221,0.66,0.07,-1.586,-13.975,HIKE | infl-up | eq-up | high-vol,0.703,10
2000-05-31,3.965,23.487,-6.996,9.122,0.54,3.137,3.133,-0.085,0.42,0.16,-7.437,-11.599,HIKE | infl-flat | eq-up | high-vol,0.732,10
2000-06-30,-2.935,20.82,-4.77,5.966,0.68,2.795,3.735,-0.027,-0.15,-0.12,-9.234,-15.827,HIKE | infl-flat | eq-dn | high-vol,0.873,10
2000-07-31,-1.487,16.298,-6.326,7.685,0.52,2.941,3.599,0.585,-0.24,-0.38,-4.53,-15.348,HIKE | infl-up | eq-flat | high-vol,0.813,10
2000-08-31,6.834,11.884,-0.64,14.94,0.23,3.149,3.351,0.219,-0.32,-0.51,-18.3,-25.308,HIKE | infl-up | eq-up | mid-vol,0.519,10
2000-09-30,-1.244,11.476,-5.954,11.99,-0.01,3.064,3.456,-0.278,-0.54,-0.4,-19.226,-27.537,HOLD | infl-dn | eq-flat | mid-vol,0.781,10
2000-10-31,-0.1,15.136,-6.42,4.877,-0.03,3.06,3.45,-0.149,-0.57,-0.36,-12.588,-25.858,HOLD | infl-dn | eq-flat | high-vol,0.759,10
2000-11-30,-13.358,16.925,-13.913,-5.325,0.01,3.066,3.444,0.093,-0.9,-0.57,-4.497,-13.347,HOLD | infl-flat | eq-dn | high-vol,1.412,10
2000-12-31,-8.091,19.851,-13.564,-10.139,-0.12,2.964,3.436,-0.02,-1.29,-0.87,-7.264,-13.043,HOLD | infl-flat | eq-dn | high-vol,1.344,10
2001-01-31,-4.435,19.416,-10.57,-2.04,-0.53,2.259,3.721,0.271,-1.36,-1.32,-11.331,-17.263,CUT | infl-up | eq-dn | high-vol,1.202,10
2001-02-28,-5.704,19.16,-18.823,-9.256,-1.02,1.961,3.529,0.085,-1.08,-1.2,-8.578,-10.743,CUT | infl-flat | eq-dn | high-vol,1.388,10
2001-03-31,-12.115,20.109,-23.701,-22.571,-1.09,2.328,2.982,-0.454,-1.13,-0.93,-10.289,-1.115,CUT | infl-dn | eq-dn | high-vol,1.769,10
2001-04-30,-8.532,21.885,-17.84,-13.975,-1.18,1.582,3.218,-0.503,-0.5,-0.32,-15.181,-13.809,CUT | infl-dn | eq-dn | high-vol,1.425,10
2001-05-31,1.281,21.879,-17.422,-11.599,-1.28,0.647,3.563,0.034,0.01,-0.19,-9.266,-15.024,CUT | infl-flat | eq-flat | high-vol,1.13,10
2001-06-30,5.52,17.891,-19.489,-15.827,-1.34,0.776,3.194,0.212,0.28,0.07,-6.232,-19.157,CUT | infl-up | eq-up | high-vol,1.124,10
2001-07-31,-3.06,13.739,-20.354,-15.348,-1.03,1.049,2.721,-0.497,0.02,-0.51,-6.69,-24.736,CUT | infl-dn | eq-dn | high-vol,1.288,10
2001-08-31,-9.734,13.489,-25.46,-25.308,-0.56,0.929,2.721,-0.842,-0.01,-0.58,-2.369,-19.188,CUT | infl-dn | eq-dn | high-vol,1.678,10
2001-09-30,-14.982,18.347,-27.537,-27.537,-0.9,0.478,2.592,-0.602,-0.21,-1.39,10.226,-21.678,CUT | infl-dn | eq-dn | high-vol,1.957,10
2001-10-31,-12.504,18.659,-26.003,-25.858,-1.28,0.362,2.128,-0.594,-0.05,-1.35,1.617,-16.42,CUT | infl-dn | eq-dn | high-vol,1.86,10
2001-11-30,0.518,18.787,-17.443,-13.347,-1.56,0.196,1.894,-0.827,0.75,-0.8,-6.346,-17.828,CUT | infl-dn | eq-flat | high-vol,1.266,10
2001-12-31,10.293,14.113,-16.426,-13.043,-1.25,0.216,1.604,-0.989,1.25,0.21,-13.785,-23.366,CUT | infl-dn | eq-up | high-vol,1.101,10
2002-01-31,6.645,12.547,-17.712,-17.263,-0.76,0.534,1.196,-0.932,1.43,0.72,-19.34,-24.288,CUT | infl-dn | eq-up | mid-vol,1.219,10
2002-02-28,-2.872,13.535,-15.699,-10.743,-0.35,0.604,1.136,-0.758,1.32,0.22,-17.227,-23.997,CUT | infl-dn | eq-dn | high-vol,1.195,10
2002-03-31,-0.06,13.89,-12.602,-1.115,-0.09,0.367,1.363,-0.241,1.99,0.65,-28.945,-26.077,HOLD | infl-dn | eq-flat | high-vol,1.072,10
2002-04-30,-4.714,14.257,-17.97,-13.809,0.02,0.106,1.644,0.448,1.49,0.08,-17.751,-14.857,HOLD | infl-up | eq-dn | high-vol,1.299,10
2002-05-31,-3.577,14.864,-16.862,-15.024,0.01,0.509,1.241,0.104,1.47,0.16,-12.26,-9.704,HOLD | infl-up | eq-dn | high-vol,1.251,10
2002-06-30,-13.733,16.654,-19.964,-19.157,0.02,0.681,1.069,-0.294,1.15,-0.82,-11.113,-1.548,HOLD | infl-dn | eq-dn | high-vol,1.647,10
2002-07-31,-15.349,25.259,-25.323,-24.736,-0.02,0.264,1.466,-0.178,0.5,-1.01,-6.134,8.632,HOLD | infl-dn | eq-dn | high-vol,1.897,10
2002-08-31,-14.157,28.128,-21.871,-19.188,-0.01,-0.007,1.747,0.507,0.4,-1.08,-8.178,10.036,HOLD | infl-up | eq-dn | high-vol,1.805,10
2002-09-30,-17.634,29.65,-30.467,-21.678,0.0,0.234,1.516,0.447,-0.03,-1.18,4.035,22.163,HOLD | infl-up | eq-dn | high-vol,2.125,10
2002-10-31,-2.837,27.743,-24.456,-16.42,0.02,-0.277,2.027,0.561,-0.07,-0.55,3.518,18.622,HOLD | infl-up | eq-dn | high-vol,1.511,10
2002-11-30,2.209,25.593,-20.145,-17.828,-0.4,-0.914,2.254,0.506,0.74,-0.06,2.914,13.018,CUT | infl-up | eq-up | high-vol,1.303,10
2002-12-31,7.916,21.852,-24.963,-23.366,-0.51,-1.24,2.48,0.964,0.37,-0.11,10.761,26.38,CUT | infl-up | eq-up | high-vol,1.396,10
2003-01-31,-3.394,18.283,-26.881,-24.288,-0.51,-1.517,2.757,0.73,0.48,0.04,15.731,32.188,CUT | infl-up | eq-dn | high-vol,1.572,10
2003-02-28,-10.163,16.947,-28.125,-23.997,-0.08,-1.886,3.146,0.893,0.27,-0.55,19.837,36.116,HOLD | infl-up | eq-dn | high-vol,1.769,10
2003-03-31,-3.596,19.699,-26.023,-26.077,0.01,-1.775,3.025,0.545,0.26,-0.1,17.424,32.78,HOLD | infl-up | eq-dn | high-vol,1.566,10
2003-04-30,7.154,18.643,-17.14,-14.857,0.02,-0.915,2.175,-0.582,0.25,-0.21,14.591,20.763,HOLD | infl-dn | eq-up | high-vol,1.006,10
2003-05-31,14.556,17.716,-9.704,-9.704,0.0,-0.634,1.894,-1.252,0.07,-0.2,9.818,16.303,HOLD | infl-dn | eq-up | high-vol,0.841,10
2003-06-30,14.893,14.067,-3.673,-1.548,-0.03,-0.729,1.949,-1.076,0.1,-0.19,14.102,17.069,HOLD | infl-dn | eq-up | high-vol,0.633,10
2003-07-31,8.004,13.176,-2.11,8.632,-0.25,-1.046,2.056,-0.12,0.79,0.29,14.22,11.25,CUT | infl-dn | eq-up | high-vol,0.493,10
2003-08-31,4.61,11.815,-0.361,10.036,-0.23,-1.186,2.216,0.322,0.92,0.62,13.584,9.547,CUT | infl-up | eq-up | mid-vol,0.657,10
2003-09-30,2.203,11.611,-4.195,22.163,-0.21,-1.368,2.378,0.43,0.49,0.18,13.077,11.909,CUT | infl-up | eq-up | mid-vol,0.628,10
2003-10-31,6.099,10.69,0.0,18.622,0.0,-1.032,2.042,-0.014,0.84,0.05,5.386,7.565,HOLD | infl-flat | eq-up | mid-vol,0.532,10
2003-11-30,4.979,10.802,-0.077,13.018,-0.03,-0.928,1.928,-0.288,1.06,0.11,5.904,10.926,HOLD | infl-dn | eq-up | mid-vol,0.615,10
2003-12-31,11.642,8.587,0.0,26.38,-0.03,-1.055,2.035,-0.343,0.86,0.34,2.601,8.993,HOLD | infl-dn | eq-up | mid-vol,0.557,10
2004-01-31,7.654,8.742,-2.098,32.188,-0.01,-1.026,2.026,-0.016,0.84,-0.01,-2.6,4.433,HOLD | infl-flat | eq-up | mid-vol,0.592,10
2004-02-29,8.197,8.22,-1.107,36.116,0.01,-0.678,1.688,-0.24,0.65,-0.4,-3.555,5.123,HOLD | infl-dn | eq-up | low-vol,0.635,10
2004-03-31,1.285,9.996,-2.725,32.78,0.02,-0.74,1.74,-0.295,0.6,-0.24,-1.033,4.829,HOLD | infl-dn | eq-flat | mid-vol,0.712,10
2004-04-30,-2.107,10.341,-4.358,20.763,0.0,-1.293,2.293,0.266,1.31,0.47,2.068,4.475,HOLD | infl-up | eq-dn | mid-vol,0.883,10
2004-05-31,-2.119,10.699,-3.203,16.303,-0.01,-1.898,2.898,1.209,1.54,0.88,4.742,6.319,HOLD | infl-up | eq-dn | mid-vol,1.081,10
2004-06-30,1.299,9.13,-1.461,17.069,0.03,-2.138,3.168,1.428,1.67,1.1,6.23,4.426,HOLD | infl-up | eq-flat | mid-vol,1.119,10
2004-07-31,-0.504,8.408,-4.84,11.25,0.26,-1.68,2.94,0.647,1.42,0.37,7.221,12.023,HIKE | infl-up | eq-flat | low-vol,0.934,10
2004-08-31,-1.467,9.147,-4.623,9.547,0.43,-1.117,2.547,-0.35,0.98,-0.13,8.998,10.513,HIKE | infl-dn | eq-flat | mid-vol,0.846,10
2004-09-30,-2.302,8.878,-3.73,11.909,0.58,-0.929,2.539,-0.628,1.02,-0.07,5.922,10.249,HIKE | infl-dn | eq-dn | mid-vol,0.895,10
2004-10-31,2.585,9.716,-2.38,7.565,0.5,-1.431,3.191,0.251,0.8,-0.12,2.358,6.796,HIKE | infl-up | eq-up | mid-vol,0.712,10
2004-11-30,6.301,8.776,-0.874,10.926,0.5,-1.692,3.622,1.074,1.09,0.61,1.506,6.446,HIKE | infl-up | eq-up | mid-vol,0.83,10
2004-12-31,8.733,8.419,-0.134,8.993,0.55,-1.182,3.342,0.803,0.92,0.45,-1.699,3.001,HIKE | infl-up | eq-up | mid-vol,0.706,10
2005-01-31,4.519,8.17,-2.66,4.433,0.52,-0.565,2.845,-0.346,1.01,0.73,4.479,8.365,HIKE | infl-dn | eq-up | low-vol,0.768,10
2005-02-28,2.537,8.189,-0.82,5.123,0.57,-0.553,3.053,-0.569,1.09,0.57,1.39,6.402,HIKE | infl-dn | eq-up | low-vol,0.825,10
2005-03-31,-2.585,8.383,-3.65,4.829,0.47,-0.577,3.207,-0.135,1.17,0.72,4.084,9.68,HIKE | infl-dn | eq-dn | low-vol,0.958,10
2005-04-30,-2.067,10.024,-5.587,4.475,0.51,-0.572,3.362,0.517,0.87,0.37,4.336,13.291,HIKE | infl-up | eq-dn | mid-vol,0.884,10
2005-05-31,-1.005,9.912,-2.759,6.319,0.5,0.131,2.869,-0.184,0.6,0.01,4.866,6.596,HIKE | infl-dn | eq-flat | mid-vol,0.756,10
2005-06-30,0.91,9.501,-2.773,4.426,0.41,0.499,2.541,-0.666,0.62,-0.14,4.781,6.62,HIKE | infl-dn | eq-flat | mid-vol,0.749,10
2005-07-31,6.685,7.49,-0.767,12.023,0.47,0.193,3.067,-0.295,0.76,0.36,3.719,3.442,HIKE | infl-dn | eq-up | low-vol,0.599,10
2005-08-31,2.42,7.108,-1.985,10.513,0.5,-0.147,3.647,0.778,0.34,0.24,4.944,6.842,HIKE | infl-up | eq-up | low-vol,0.744,10
